Event,Date,Day,Begin,End,Room,Type
Jazzercise,3/26/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,3/26/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,3/26/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,3/27/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,3/27/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/27/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,3/27/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,3/28/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/28/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,3/28/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,3/29/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,3/29/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,3/29/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,3/30/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,3/31/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,4/1/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,4/1/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,4/1/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,4/1/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,4/2/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/2/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/2/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,4/2/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,4/3/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,4/3/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,4/3/2018,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,4/3/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/3/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,4/4/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/4/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,4/4/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,4/5/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,4/5/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,4/5/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,4/6/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/7/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,4/8/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,4/8/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,4/8/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,4/8/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,4/9/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/9/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/9/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,4/9/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,4/10/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,4/10/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/10/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/10/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,4/11/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/11/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,4/11/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,4/12/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,4/12/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,4/12/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,4/13/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Cub Scouts ~ Pinewood Derby,4/13/2018,Fr,5:00:00 PM,9:00:00 PM,Gym,Cub Scout Event
Classical Conversations~Director’s Licencing Orientation,4/14/2018,Sa,8:00:00 AM,6:00:00 PM,Sanctuary,Home School
Cub Scouts ~ Pinewood Derby,4/14/2018,Sa,9:00:00 AM,3:30:00 PM,Gym,Cub Scout Event
RPC - Worship,4/15/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,4/15/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service~Home School Sunday,4/15/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,4/15/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,4/16/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/16/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/16/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,4/16/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,4/17/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,4/17/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/17/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/17/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,4/18/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/18/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,4/18/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,4/19/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,4/19/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,4/19/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,4/20/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Thursday Connection ~ Talent School,4/20/2018,Fr,4:00:00 PM,9:00:00 PM,Gym,Home School
Jazzercise,4/21/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,4/22/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,4/22/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,4/22/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,4/22/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Session Meeting,4/22/2018,Su,6:00:00 PM,8:00:00 PM,Keene Room,Session Meeting
Jazzercise,4/23/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/23/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/23/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,4/23/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,4/24/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,4/24/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/24/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/24/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,4/25/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/25/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,4/25/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,4/26/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,4/26/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
SMHEA Graduation Team,4/26/2018,Th,5:30:00 PM,7:30:00 PM,McDonald Chapel,Home School
Jazzercise,4/26/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,4/27/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/28/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,4/29/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,4/29/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,4/29/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,4/29/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,4/30/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,4/30/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,4/30/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,4/30/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,5/1/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,5/1/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,5/1/2018,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,5/1/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,5/1/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,5/2/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/2/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,5/2/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,5/3/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,5/3/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,5/3/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,5/4/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/5/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,5/6/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,5/6/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,5/6/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,5/6/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,5/7/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Classical Conversation Testing,5/7/2018,Mo,9:00:00 AM,4:00:00 PM,Room #30,Home School
Jazzercise,5/7/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,5/7/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,5/7/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,5/8/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,5/8/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Classical Conversation Testing,5/8/2018,Tu,9:00:00 AM,4:00:00 PM,Room #30,Home School
Jazzercise,5/8/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,5/8/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,5/9/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/9/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,5/9/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,5/10/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,5/10/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,5/11/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/12/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,5/13/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,5/13/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,5/13/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,5/13/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,5/14/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/14/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,5/14/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,5/14/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Jazzercise,5/15/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/15/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,5/15/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,5/16/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/16/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,5/16/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,5/17/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,5/17/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,5/18/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/19/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,5/20/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,5/20/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,5/20/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,5/20/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,5/21/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/21/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,5/21/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,5/21/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Jazzercise,5/22/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/22/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,5/22/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,5/23/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/23/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,5/23/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,5/24/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,5/25/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/26/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,5/27/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,5/27/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,5/27/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,5/27/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Session Meeting,5/27/2018,Su,6:00:00 PM,8:00:00 PM,Keene Room,Session Meeting
Jazzercise,5/28/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/28/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,5/28/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,5/28/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Jazzercise,5/29/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/29/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,5/29/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,5/30/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,5/30/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,5/30/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,5/31/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,6/1/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/2/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,6/3/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,6/3/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,6/3/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,6/3/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,6/4/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/4/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,6/4/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,6/4/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Jazzercise,6/5/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,6/5/2018,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,6/5/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,6/5/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,6/6/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/6/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,6/6/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,6/7/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,6/8/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/9/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,6/10/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,6/10/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,6/10/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,6/10/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,6/11/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/11/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,6/11/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,6/11/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Jazzercise,6/12/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/12/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,6/12/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,6/13/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/13/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,6/13/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,6/14/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,6/15/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/16/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,6/17/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,6/17/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,6/17/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,6/17/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,6/18/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/18/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,6/18/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,6/18/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Jazzercise,6/19/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/19/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,6/19/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,6/20/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/20/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,6/20/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Jazzercise,6/21/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,6/22/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/23/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,6/24/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,6/24/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,6/24/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,6/24/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Session Meeting,6/24/2018,Su,6:00:00 PM,8:00:00 PM,Keene Room,Session Meeting
Jazzercise,6/25/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,6/25/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,6/25/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
